Bug ID,Actual result,Assignee,Bug title,Category,Date fixed,Environment,Expected result,Git branch ID,Notes,Page/Feature,Priority,Reported at,Reporter,Reproducibility,Screenshot,Severity,Status,Steps to reproduce
KYPRO-37,"The row is added to the import queue with the invalid email intact. No error or warning is shown. Clicking ""Import N Members"" persists the invalid email to the database. Confirmed by ""Invalid Email User"" with ""not-an-email"" visible in the Audience member list.",Ashok,Invalid email format accepted in Import Members > Manual Entry,Functional,,Web – http://pro.kyozo.com (QA Test Community),"An inline validation error should appear on the Email field (e.g. ""Please enter a valid email address"") and the row should not be added to the queue.",,"The standalone Add Member dialog does validate email format (see KYPRO-39), creating an inconsistency between the two manual-add surfaces. Also relates to KYPRO-29–32 (file imports also lack email validation), though those are tracked separately.

[2026-04-08] Also confirmed in the inline edit flow of the preview table (Path B). Editing an existing row and saving an invalid email is accepted without any error. Same root cause — no client-side email format validation on the preview table's edit mode.",Audience > Import Members > Manual Entry,Medium,"April 2, 2026 4:58 PM",Anastasia Starko,Always,,Medium,New,"Path A – Add Member form (original):
1. Navigate to Audience
2. Click Import Members
3. Select Manual Entry
4. Enter any name (e.g. ""Bob Reviewer"")
5. Enter an invalid email such as ""notanemail"" (no @ symbol)
6. Leave Phone and Tags empty
7. Click + Add

Path B – Inline edit of existing preview row (confirmed 2026-04-08):
1. Navigate to Audience > Import Members > Manual Entry
2. Add a valid contact and click + Add
3. Click ✏️ on the row to enter inline edit mode
4. Clear the Email field and type an invalid string (e.g. ""notanemail"")
5. Click 💾 to save
6. Observe: row is saved with invalid email, no validation error shown"
KYPRO-39,"All validation error messages render below the Profile Banner upload section, which is below the visible dialog area without scrolling. The Add Member button appears completely non-functional to users. Additionally, required fields (Last Name, Phone) have no asterisk or ""required"" indicator, so users cannot know these fields are mandatory before attempting submission.",Ashok,Add Member form – all validation errors hidden below the fold,UX,,Web – http://pro.kyozo.com (QA Test Community),"Validation errors should appear immediately adjacent to the relevant field (inline), or at minimum at the top of the form — always visible without scrolling. Required fields should be marked with an asterisk (*) or a ""required"" label.",,"During QA testing this bug caused the Add Member button to appear broken across multiple test cases. High severity because it directly blocks users from creating members without knowing they need to scroll down. Three distinct error messages are affected: phone required, name required, invalid email.",Audience > Add Member,High,"April 2, 2026 4:58 PM",Anastasia Starko,Always,,High,New,"Scenario A – missing phone:
1. Click Add Member in the Audience header
2. Fill First Name, Last Name, valid Email; leave Phone blank
3. Click Add Member
4. Nothing visible happens → scroll down past Profile Banner
5. Error appears: ""Phone number is required.""

Scenario B – missing last name:
1. Click Add Member; fill First Name, Email, Phone; leave Last Name blank
2. Click Add Member → scroll down
3. Error appears: ""First and last names are required.""

Scenario C – invalid email:
1. Click Add Member; fill First Name, Last Name, Phone; enter ""notavalidemail"" in Email
2. Click Add Member → scroll down
3. Error appears: ""A valid email address is required."""
KYPRO-49,"No suggestions or autocomplete dropdown appears. The user can press Enter and create a duplicate tag (e.g. a second 'vip' tag), silently polluting the tag namespace",Ashok,No autocomplete suggestions appear when typing an existing tag name in the Tag Members modal,UX,,"Chrome (desktop), http://pro.kyozo.com","A dropdown of matching existing tags should appear as the user types, allowing them to select a pre-existing tag rather than creating a new one",,,Audience / Tags,Medium,"April 2, 2026 5:58 PM",Anastasia Starko,Always,,Medium,New,"1. Select a member on the Audience tab
2. Click 'Add Tags'
3. Click inside the tag input field
4. Type the name of an existing tag (e.g. 'vip')"
KYPRO-46,"Search takes 40+ seconds to complete. Only 2-3 of 4 results appear initially while the spinner remains active. Throughout the search, the page 'jumps' — the viewport shifts so the community banner/header is pushed off-screen. Results trickle in incrementally rather than loading all at once. The spinner represents an ongoing slow search, not infinite scroll.",Ashok,"Search is extremely slow, shows partial results, and page jumps while spinner is active",Performance,,"Chrome (desktop), http://pro.kyozo.com",All matching results should load promptly (within 1-2 seconds) without the page shifting or jumping during the process,,Reproduced consistently. The jumping behavior is particularly disorienting — the page scrolls/shifts on its own while the search is in progress. The 4th result (TestFirst TestLast) eventually appears but only after a very long wait (40+ seconds observed).,Audience / Search,Medium,"April 2, 2026 5:58 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/Screen_Recording_2026-04-02_at_6.35.32_PM.mov,Medium,New,"1. Navigate to the Audience tab
2. Type 'Test' in the search bar
3. Observe results loading in real time"
KYPRO-40,"The floating label and placeholder text overlap, rendering garbled text. E.g. the Email Address field displays as 'http://EmaiDAddress.com' — the label 'Email' and placeholder '@http://address.com' are stacked on top of each other",Ashok,Floating label overlaps placeholder text in Invite Member modal input fields,UI,,"Chrome (desktop), http://pro.kyozo.com",Each input field shows either a floating label above the field OR a placeholder — not both simultaneously,,,Audience / Invite Member,High,"April 2, 2026 5:58 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/Screenshot_2026-04-02_at_6.24.19_PM.png,High,New,"1. Navigate to Audience tab
2. Click 'Invite Member'
3. Observe the First Name, Last Name, Email Address, and Phone Number input fields in their default (unfocused, empty) state"
KYPRO-43,"Native browser window.alert() dialogs are used, which block the entire page, are visually inconsistent, and cannot be styled or dismissed gracefully",Ashok,Validation and API error messages use native browser window.alert() instead of in-app UI components,UX,,"Chrome (desktop), http://pro.kyozo.com","Errors should be shown as inline field validation messages or in-app toast notifications, consistent with the rest of the app UI",,,"Audience / Invite Member, Audience / Tags",High,"April 2, 2026 5:58 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/Screenshot_2026-04-02_at_5.33.37_PM.png,High,New,"1. Open Invite Member modal and click 'Send Invite' without selecting Email or WhatsApp → native alert fires
2. On the Audience list, click 'Add Tags' without selecting any member → native alert fires"
KYPRO-45,"The full internal error is surfaced: 'Failed to send email: The http://kyozo.com domain is not verified. Please, add and verify your domain on https://resend.com/domains' — this reveals http://Resend.com as the email delivery provider, which is sensitive infrastructure information",Ashok,Failed invite error message exposes internal email service provider and infrastructure details,Security,,"Chrome (desktop), http://pro.kyozo.com","A generic, user-friendly error such as 'Failed to send invitation. Please try again or contact support.'",,,Audience / Invite Member,High,"April 2, 2026 5:58 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/Screenshot_2026-04-02_at_5.37.01_PM.png,High,New,"1. Open Invite Member modal
2. Fill in all required fields and send an invite via Email
3. Observe the error message that appears"
KYPRO-42,Both buttons show a selected/bordered state simultaneously and both the Email Address field and Phone Number field are displayed at the same time,Ashok,"Email and WhatsApp channels can be selected simultaneously in Invite Member modal, showing both input fields at once",Functional,,"Chrome (desktop), http://pro.kyozo.com",Email and WhatsApp should be mutually exclusive — selecting one deselects the other,,,Audience / Invite Member,Medium,"April 2, 2026 5:58 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/Screenshot_2026-04-07_at_1.37.16_PM.png,Medium,New,"1. Open Invite Member modal
2. Click 'Email' button (Email Address field appears)
3. Click 'WhatsApp' button
4. Observe both buttons and both input fields"
KYPRO-48,"On initial open, the 'Available Tags (click to add)' section is hidden — it only appears after a tag is removed from the active input. The instruction references something invisible, causing confusion",Ashok,Tag Members modal instruction 'Click existing tags above to add them' is misleading — referenced section is hidden on initial open,UX,,"Chrome (desktop), http://pro.kyozo.com","The instruction should only reference UI elements that are currently visible, or the 'Available Tags' section should always be shown (even if empty)",,,Audience / Tags,Low,"April 2, 2026 5:58 PM",Anastasia Starko,Always,,Low,New,"1. Select one or more members on the Audience tab
2. Click 'Add Tags'
3. Read the instruction text below the tag input: 'Click existing tags above to add them, or type a new tag name and press Enter to create one'"
KYPRO-47,"The button changes to 'Deselect All' even though the list is empty and no items are selected, which is logically incorrect",Ashok,'Deselect All' button appears instead of 'Select All' when search returns zero results,UI,,"Chrome (desktop), http://pro.kyozo.com",'Select All' button (or the button should be hidden/disabled since there is nothing to select or deselect),,,Audience / Search,Low,"April 2, 2026 5:58 PM",Anastasia Starko,Always,,Low,New,"1. Navigate to Audience tab
2. Type a search query that returns no results (e.g. 'zzznoresultsxxx')
3. Observe the button next to the search bar"
KYPRO-41,Both Email and WhatsApp buttons look identical with no active/inactive state indication. There is no visual cue that the user must click one to proceed. Attempting to send without clicking results in a native browser alert,Ashok,Email/WhatsApp channel buttons in Invite Member modal have no visible default selected state,UX,,"Chrome (desktop), http://pro.kyozo.com","One channel should be pre-selected by default (e.g. Email), or the buttons should clearly communicate they are unselected and require user action",,Related to KYPRO-43 (native alert usage),Audience / Invite Member,Medium,"April 2, 2026 5:58 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/image%2011.png,Medium,New,"1. Navigate to Audience tab
2. Click 'Invite Member'
3. Observe the Email and WhatsApp toggle buttons"
KYPRO-44,"Modal closes optimistically on click. If the API fails, a native browser alert appears on the empty audience page with no way to re-open the pre-filled form",Ashok,Invite Member modal closes before API response is confirmed; error appears after context is lost,UX,,"Chrome (desktop), http://pro.kyozo.com","The modal should remain open while the API call is in flight. On failure, the error should be shown inline inside the modal so the user retains their context and can correct the issue",,,Audience / Invite Member,Medium,"April 2, 2026 5:58 PM",Anastasia Starko,Always,,Medium,New,"1. Open Invite Member modal
2. Fill in First Name, Last Name, select Email, enter email address
3. Click 'Send Invite'
4. The modal immediately dismisses
5. A native alert error appears after the modal is already gone"
KYPRO-50,"On initial page load, 'Select All' only selected 20 of 3016 members ('20 of 20 selected'). After performing the 'Test' search (which causes the system to load more member data) and clearing it, clicking 'Select All' correctly selected all 3016 members ('3016 of 3016 selected'). The selection count is tied to how many records are currently loaded in the frontend, not the actual total member count.",Ashok,"'Select All' only selects currently loaded members, not all members in the community",Functional,,"Chrome (desktop), http://pro.kyozo.com","'Select All' should always select all members in the community (3016), regardless of what has been previously loaded or searched",,"Critical data integrity risk. An admin could believe they are selecting all members to broadcast or tag, but only a small subset would be affected. Behavior changes depending on session state (what has been previously loaded or searched).",Audience / Select All,High,"April 7, 2026 1:19 PM",Anastasia Starko,Always,"Kyozo%20Pro%20QA%20Bug%20Tracker/image%209.png, Kyozo%20Pro%20QA%20Bug%20Tracker/image%2010.png",High,New,"1. Navigate to the Audience tab (community has 3016 members)
2. Click 'Select All' without performing any search
3. Note the number of selected members
4. Deselect All
5. Type 'Test' in the search bar and wait for all 4 results to fully load (~50 seconds)
6. Clear the search
7. Click 'Select All' again
8. Note the number of selected members"
KYPRO-51,Clicking the X button has no effect — the 'Tag Members' modal remains open. The only way to close the modal without applying tags is via the Cancel button.,Ashok,X button in 'Tag Members' modal does not close the window,Functional,,"Chrome (desktop), http://pro.kyozo.com",The modal should close,,Cancel button works correctly. Only the X button is broken.,Audience / Tag Members modal,Medium,"April 7, 2026 1:48 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/Screenshot_2026-04-07_at_1.51.28_PM.png,Medium,New,"1. Navigate to the Audience tab
2. Select any member (e.g. Frank Validuser)
3. Click 'Add Tags (1)'
4. When the 'Tag Members' modal opens, click the X button in the top right corner"
KYPRO-52,"After closing the modal, the visual selection state appears intact (member row is highlighted, checkbox is checked, counter says '1 of 20 selected') but the internal state is cleared. The 'Add Tags' button no longer shows a count '(1)'. Clicking 'Add Tags' again triggers a browser alert: 'Please select one or more members to apply tags.' The UI and internal state are out of sync.",Ashok,Member selection state is lost after closing the 'Tag Members' modal — visual state and internal state become out of sync,Functional,,"Chrome (desktop), http://pro.kyozo.com","The 'Tag Members' modal should open with the previously selected member still selected, as the UI indicates they are",,"The misleading visual state (checkbox + counter showing 1 selected) makes this particularly confusing — the user believes their selection is intact but cannot proceed. Related to KYPRO-51 (X button not working), but reproduced via Cancel button.",Audience / Tag Members modal,High,"April 7, 2026 1:48 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/Screenshot_2026-04-07_at_1.49.41_PM.png,High,New,"1. Navigate to the Audience tab
2. Select a member (e.g. Frank Validuser) — toolbar shows 'Add Tags (1)' and '1 of 20 selected'
3. Click 'Add Tags (1)' to open the Tag Members modal
4. Close the modal using the Cancel button
5. Observe the UI — member still appears checked and '1 of 20 selected' is still shown
6. Click 'Add Tags' again"
KYPRO-55,"Clicking 'Forgot password?' jumps directly to the 'Check your inbox' screen with the previously submitted email still shown, skipping the email entry form entirely. The X button visually closes the modal but does not reset the forgot password flow state.",Ashok,'Forgot password' flow state not cleared when dismissing with X — skips email form on next attempt,Functional,,"Chrome (desktop), http://pro.kyozo.com","The 'Reset your password' form with the email field should appear, allowing the user to enter a new email address",,Related to the general X button issue (KYPRO-51). The only workaround is to do a full page reload before trying again.,Login / Forgot Password,Medium,"April 7, 2026 2:45 PM",Anastasia Starko,Always,https://www.loom.com/share/f2a630ab117e45448577a6eadeba933b,Medium,New,"1. Click Sign In on http://pro.kyozo.com
2. Click 'Forgot password?' and submit any email address
3. On the 'Check your inbox' confirmation screen, click the X button to dismiss
4. Click Sign In again and click 'Forgot password?' a second time"
KYPRO-53,"The password reset email was delivered to the junk/spam folder. Users are unlikely to find it without checking spam, which could block them from resetting their password.",Ashok,Password reset email lands in spam/junk folder,UX,,"Chrome (desktop), http://pro.kyozo.com / Outlook email client",The password reset email should be delivered to the main inbox,,This is likely a domain reputation or email authentication (SPF/DKIM/DMARC) issue. The 'Check your inbox and spam folder' message in the UI already hints at this being a known issue.,Login / Forgot Password,Medium,"April 7, 2026 2:45 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/Screenshot_2026-04-07_at_2.50.50_PM.png,Medium,New,"1. Go to http://pro.kyozo.com and click Sign In
2. Click 'Forgot password?'
3. Enter mailto:ana@kyozo.com (an existing account)
4. Click 'Send reset link'
5. Check inbox for the password reset email"
KYPRO-54,"The reset link redirects to http://www.kyozo.com (the member-facing frontend) at the path /reset-password. The page title shown is 'Willer - Welcome to the http://Willer.fm community', indicating a community member page rather than an admin password reset form. Admins/owners initiated the reset from http://pro.kyozo.com and should be returned there.",Ashok,Password reset link from http://pro.kyozo.com redirects to http://www.kyozo.com (member-facing app) instead of the admin panel,Functional,,"Chrome (desktop), http://pro.kyozo.com",The reset link should open a password reset form on http://pro.kyozo.com (the admin panel),,The reset link URL observed: https://www.kyozo.com/reset-password?mode=resetPassword&oobCode=...&lang=en. The mismatch between http://pro.kyozo.com and http://www.kyozo.com means the reset flow sends admins to the wrong application entirely.,Login / Forgot Password,High,"April 7, 2026 2:45 PM",Anastasia Starko,Always,https://www.loom.com/share/5343b72852744e489aba20a6ef76f48a,High,New,"1. Go to http://pro.kyozo.com and click Sign In
2. Click 'Forgot password?' and enter mailto:ana@kyozo.com
3. Click 'Send reset link'
4. Open the password reset email and click the reset link"
KYPRO-58,"A toast ""Plan Limit Reached – You've reached your plan limit of 5 communities. Upgrade your plan to create more."" only appears after the user fills out both steps and clicks Finish, wasting significant user effort",Ashok,Plan limit reached error only shown after user completes the full 2-step Create Community form,UX,,http://pro.kyozo.com – Chrome,"The system should detect the plan limit before the user starts the flow — either by disabling the Create Community button with a tooltip, or showing a blocking message when the modal opens",,"Reproducible when plan limit of 5 communities is reached. System should detect the plan limit before the modal opens, not after the user fills both steps.",Create Community flow (Step 2 – Customization),High,"April 7, 2026 5:18 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/Screen_Recording_2026-04-07_at_5.14.31_PM.mov,High,New,"1. Have an account that has reached the plan limit (5 communities)
2. Click the Create Community button on the Communities page
3. Fill out all fields in Step 1 (Basic Info) and click Next
4. Fill out fields in Step 2 (Customization) and click Finish"
KYPRO-57,"Toggle thumb appears very dark (brown/black) even when OFF, making it visually ambiguous whether the toggle is on or off",Ashok,Private Community toggle thumb is dark brown/black in the OFF state,UI,,http://pro.kyozo.com – Chrome,"Off-state toggle thumb should be light/white, clearly distinguishable from the on state",,,Create Community – Step 1 (Basic Info),Low,"April 7, 2026 5:18 PM",Anastasia Starko,Always,"Kyozo%20Pro%20QA%20Bug%20Tracker/image%207.png, Kyozo%20Pro%20QA%20Bug%20Tracker/image%208.png",Low,New,"1. Open Create Community modal
2. Scroll down to the Private Community toggle
3. Ensure the toggle is in the OFF (default) state
4. Observe the toggle thumb colour"
KYPRO-56,"The handle retains a trailing hyphen (e.g. ""qa-test-community-new-""), creating an invalid or unclean URL slug",Ashok,Custom Handle generates trailing hyphen when community name ends with special character,Functional,,http://pro.kyozo.com – Chrome,"The handle strips trailing hyphens/special characters, producing a clean slug (e.g. ""qa-test-community-new"")",,,Create Community – Step 1 (Basic Info),Low,"April 7, 2026 5:18 PM",Anastasia Starko,Always,,Low,New,"1. Open Create Community modal
2. In the Community Name field, type a name ending with a special character (e.g. ""QA Test Community New!"")
3. Observe the auto-generated Custom Handle field"
KYPRO-59,"An error message appears when uploading the background image. Despite the error, the form allows the user to continue and the community is created, but the background image is not saved — the header shows a plain grey gradient instead",Ashok,Background image upload fails silently during Create Community — image not applied,Functional,,http://pro.kyozo.com – Chrome,Background image uploads successfully and is displayed in the community header banner,,"File tested: ~7.5MB jpg image, within the stated 10MB limit. An error message appeared indicating the image could not be loaded. The form allowed the user to proceed and the community was created, but the background image was not saved. The community header shows a plain grey gradient instead of the uploaded image.",Create Community – Step 2 (Customization),High,"April 7, 2026 5:31 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/kypro59_1.mov,High,New,"1. Open Create Community modal
2. Complete Step 1 (Basic Info) and click Next
3. On Step 2 (Customization), upload a background image within the 10MB limit (tested with ~7.5MB)
4. Observe the error message
5. Proceed and click Finish
6. Open the created community"
KYPRO-60,"The Custom Handle field remains empty for all tested inputs. The URL hint stays as ""http://pro.kyozo.com/your-handle"" with no generated slug. No error or warning is shown and the form proceeds to Step 2 with an empty handle.",Ashok,Custom Handle slug not auto-generated from Community Name for any input,Functional,,http://pro.kyozo.com – Chrome,"The Custom Handle should auto-populate with a URL-safe slug derived from the community name (e.g. ""Hello World"" → ""hello-world"")",,"Initially suspected to be a non-Latin character issue (Cyrillic / special chars). Re-tested with a real user typing plain Latin text (""Hello World"") — the slug still did not auto-generate. The auto-generation is broken for all inputs. The field stays empty with no error or warning, and the form allows proceeding to Step 2 with no handle. When the handle is empty, the backend falls back to using the raw community name verbatim as the URL slug (see KYPRO-61).",Create Community – Step 1 (Basic Info),High,"April 7, 2026 6:12 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/Screenshot_2026-04-07_at_6.39.45_PM.png,High,New,"1. Open Create Community modal (fresh)
2. Type any community name in the Community Name field (tested with Latin ""Hello World"", Cyrillic ""клавдий тестирует"", and all-special-chars ""!@#$%^&*()"")
3. Tab or click away to another field
4. Observe the Custom Handle field and the URL hint below it"
KYPRO-61,"The backend saves the raw community name verbatim as the URL slug (e.g. href=""/!@#$%^&*()+=[]{}|;':"",.<>?/`~""). Clicking the community card triggers a full application crash: ""Application error: a client-side exception has occurred"" with console error: URIError: URI malformed at decodeURIComponent",Ashok,"Community with raw-name URL slug is inaccessible after creation — crash or ""Community not found"" depending on character type",Functional,,http://pro.kyozo.com – Chrome,"The community should either not be created with an invalid URL, or a safe fallback slug should be used. Navigating to the community should work without errors",,"Three distinct failure modes observed:

1. NON-LATIN UNICODE (Cyrillic, Chinese — likely all Unicode scripts):
   Examples: ""клавдий тестирует"" → /клавдий-тестирует, ""你好"" → /你好
   Browser navigates to percent-encoded URL (e.g. /%E4%BD%A0%E5%A5%BD)
   Result: no crash, sidebar shell loads with community name visible, but main content shows ""Community not found""
   Community is inaccessible

2. SPECIAL CHARACTERS containing URI-breaking chars (%, #, ?, etc.):
   Example: ""!@#$%^&*()+=[]{}|;':"""",./<>?`~""
   Result: full app crash — ""Application error: a client-side exception""
   Console: URIError: URI malformed at decodeURIComponent
   App must be manually reloaded

3. PARTIAL SPECIAL CHARACTERS (chars that don’t break URI parsing):
   Examples: ""test-new!"", ""[test-:)]""
   These navigate without crashing but communities may still be inaccessible

Root cause: empty handle (see KYPRO-60) causes backend to store raw community name as slug. Pattern is consistent across all tested non-Latin scripts.",Create Community / Communities list,High,"April 7, 2026 6:12 PM",Anastasia Starko,Always,"Kyozo%20Pro%20QA%20Bug%20Tracker/Screenshot_2026-04-07_at_6.34.19_PM.png, Kyozo%20Pro%20QA%20Bug%20Tracker/Screenshot_2026-04-07_at_6.37.12_PM.png, Kyozo%20Pro%20QA%20Bug%20Tracker/Screenshot_2026-04-07_at_6.37.25_PM.png",High,New,"1. Create a community whose name contains only characters that produce an empty URL slug (e.g. ""!@#$%^&*()+=[]{}|;':"",.<>?/`~"" or Cyrillic text)
2. Community is created successfully (see KYPRO-60)
3. Click on the community card from the Communities list"
KYPRO-62,"Tab delimiter is not recognised. Every column (NAME, EMAIL, PHONE, TAGS) shows all four fields of the row concatenated as a multi-line block in the preview. If the user proceeds to import, the corrupted data is saved to the database: each contact's Name, Email, and Tags fields all receive the full concatenated row string (e.g. name = 'Diana Prince mailto:diana@example.com +15550103 vip', email = 'Diana Prince mailto:diana@example.com +15550103 vip', tag = 'Diana Prince mailto:diana@example.com +15550103 vip'). The Phone field is left empty. Results in completely unusable audience records with no warning shown to the user.",Ashok,"TSV import — tab delimiter not recognised, all row data repeated in every column",Functional,,Production — http://pro.kyozo.com,"Each contact's fields are displayed in the correct columns: Name → NAME, Email → EMAIL, Phone → PHONE, Tags → TAGS",,"Test file had a proper header row (Name, Email, Phone, Tags) and three data rows, all tab-separated. The importer appears to only handle comma delimiters and does not parse TSV files despite advertising .tsv support. The import does not fail gracefully — it silently saves malformed records to the database. Confirmed by inspecting the audience list post-import: Diana Prince, Ethan Hunt, and Fiona Green all have their full concatenated row string stored as name, email, and tag. Severity kept at High (no Critical option) but this warrants urgent attention.",Audience → Automatically Integrate → CSV / TSV importer (Preview step),High,"April 8, 2026 2:40 PM",Anastasia Starko,Always,,High,New,"1. Open the Audience page of a freshly-created community
2. Click 'Automatically Integrate'
3. Choose 'CSV File (.csv / .tsv)'
4. Upload a valid .tsv file whose columns are Name, Email, Phone, Tags separated by tab characters
5. Click Next and inspect the Preview screen"
KYPRO-63,Two buttons are shown that trigger identical behaviour: 'Import N' (top-right of the preview table) and 'Import N Members' (bottom-right). Both complete the import and return to the source selection screen — no functional difference observed.,Ashok,Import preview has two buttons that perform the same action ('Import N' and 'Import N Members'),UX,,Production — http://pro.kyozo.com,"A single, clearly labelled primary action button to confirm the import (e.g. 'Import N Members')",,"Having duplicate CTA buttons with slightly different labels ('Import 3' vs 'Import 3 Members') is confusing and may lead users to wonder whether the two buttons do different things. Recommend keeping only one consistent button, ideally 'Import N Members' at the bottom of the preview list.",Audience → Automatically Integrate → Import Preview step,Low,"April 8, 2026 2:47 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/image%206.png,Low,New,"1. Open the Audience page of any community
2. Click 'Automatically Integrate'
3. Select any import source (CSV, TSV, Excel/XLS)
4. Upload a valid file and proceed to the Preview step
5. Observe the buttons available on the preview screen"
KYPRO-64,"The phone value ""abcDEFghi"" is accepted and saved without any validation error. The row is included in the import, and the member is created in the Audience with ""abcDEFghi"" stored as their phone number.",Ashok,Phone field in Manual Entry preview edit mode accepts alphabetic characters without validation,Functional,,http://pro.kyozo.com — Chrome,"The Phone field should reject non-numeric input and display a validation error (e.g. ""Please enter a valid phone number""). The row should not be saveable with letters in the phone field.",,No phone format validation exists anywhere in the Manual Entry flow — neither in the Add Member form nor in the inline edit mode of the preview table. Same pattern as email validation gaps (KYPRO-37) and empty field validation gaps (KYPRO-34). Likely a systemic absence of input validation across the Manual Entry feature.,Audience > Import Members > Manual Entry,Medium,"April 8, 2026 3:29 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/image%205.png,Medium,New,"1. Navigate to Audience > Import Members > Manual Entry
2. Add any contact with a valid name and email, click + Add
3. Click ✏️ on the row to enter inline edit mode
4. In the Phone field, type alphabetic characters (e.g. ""abcDEFghi"")
5. Click 💾 to save
6. Click 'Import 1 Members'"
KYPRO-65,"The full admin dashboard of the target community loads without any authorization check. The authenticated user gains complete admin access including:
- Full Audience list with member names and email addresses (real PII)
- Broadcast — can send messages to all community members
- Guestlist, RSVP, Schedule, Inbox — full read/write access
- Feed — can post content on behalf of the community owner
- Integrations — can import/export member data
- Settings — can modify community configuration

Confirmed on http://Willer.fm (slug: 'willer'): logged in as ana+0704, full admin panel loaded, member PII visible.",Ashok,Any authenticated user can access and fully control another user's community by navigating directly to its URL slug,Security,,http://pro.kyozo.com — Chrome,"The app should return a 403 Forbidden or 404 Not Found response, or redirect the user to their own dashboard. No data from another user's community should be accessible to an unauthorized user.",,This is a Broken Object Level Authorization (IDOR/BOLA) vulnerability. Authorization is not enforced server-side on community slug routes — any authenticated session can access any community. Scope of impact is every community on the platform. Severity is effectively Critical despite the tracker maximum being High. Requires immediate fix: all community routes must validate that the requesting user owns or has been granted access to the community.,Community Admin Dashboard,Critical,"April 9, 2026 1:15 PM",Anastasia Starko,Always,https://www.loom.com/share/7531f53d56284efcaef71d95c11ee03a,Critical,Fixed,"1. Log in as any authenticated Kyozo Pro user (e.g. ana+0704)
2. In the browser address bar, type http://pro.kyozo.com/<another-community-slug> (e.g. http://pro.kyozo.com/willer)
3. Press Enter"
KYPRO-66,Both fields accept and store strings of any length without any limit or error. A 370+ character name and a 500+ character email were successfully imported and persisted to the member record with no warning.,Ashok,No character length limit on Name or Email fields in Manual Entry — extremely long strings accepted and stored,Functional,,http://pro.kyozo.com — Chrome,"Fields should enforce a reasonable maximum length (e.g. 100–255 chars for name, 254 chars for email per RFC 5321). Exceeding the limit should show an inline validation error and prevent submission.",,"No maxlength attribute is enforced on the Name or Email inputs. This is a systemic gap across the Manual Entry form. Very long strings also cause downstream UI layout failures (see KYPRO-67). Could also present database storage risks depending on column type and size constraints server-side.

[2026-04-14 TC7 update] Same overflow also reproduced in the CSV Import preview table. A 510-char name pushes all other columns (Email, Phone, Tags, Notes) completely off-screen with no truncation or horizontal scroll. Affects Integrations > Import > CSV File preview step.",Audience > Import Members > Manual Entry,Medium,"April 9, 2026 1:31 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/image%204.png,Medium,New,"1. Navigate to Audience > Import Members > Manual Entry
2. In the Name field, type a string of 370+ characters (e.g. 370 x 'A' followed by 'long name test')
3. In the Email field, type an extremely long email (e.g. 250 x 'a' + '@' + 250 x 'a' + '.com')
4. Click + Add
5. Click 'Import 1 Members'"
KYPRO-67,"Preview table (step 3): The table overflows horizontally. The long name forces all columns to the right — EMAIL, PHONE, TAGS, NOTES and the ✏️/🗑️ action buttons become inaccessible without horizontal scrolling. The column header row also misaligns and disappears from view during scroll.

Member profile card (step 5): The name and email strings overflow outside the card container horizontally, breaking the profile layout. Text is not wrapped or truncated.",Ashok,Extremely long name or email causes horizontal overflow and broken layout in preview table and member profile,UI,,http://pro.kyozo.com — Chrome,Long text should be truncated with an ellipsis (…) within its column/cell. The table layout should remain stable. The member profile card should wrap or truncate long name/email values within the card boundary.,,"Root cause of long strings being storable is tracked separately in KYPRO-66. Both surfaces (preview table and profile card) are missing CSS overflow handling (e.g. overflow: hidden; text-overflow: ellipsis; white-space: nowrap or word-break: break-word). The preview table issue also makes the edit/delete buttons unreachable without scrolling, which is an accessibility concern.",Audience > Import Members > Manual Entry / Member Profile,Medium,"April 9, 2026 1:31 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/image%203.png,Medium,New,"1. Navigate to Audience > Import Members > Manual Entry
2. Enter a name of 370+ characters and a valid email, click + Add
3. Observe the preview table
4. Import the contact and click on the resulting member in the Audience list
5. Observe the member profile card"
